Node, Long, Lat, Time(hrs), Cost(kg)
Fontrabiouse,2.1,42.6,15.0,123.2
Porteille_Orlu,2.0,42.7,27.1,173.8
Orlu,1.9,42.7,33.3,225.0
Montaillou,1.9,42.8,40.4,300.2
Luzenac,1.8,42.8,34.7,235.5
Roquefeuil,2.0,42.8,33.1,265.8
Auzat,1.5,42.7,52.5,301.7
Toulouse,1.4,43.6,75.2,269.1
Ax,1.8,42.7,29.8,197.0
Montgaillard,1.6,42.9,42.9,242.3
Lavelanet,1.8,42.9,42.3,330.8
Mirepoix,1.9,43.0,53.6,357.8
Fanjeaux,2.0,43.1,64.7,444.8
Pamiers,1.6,43.1,51.0,249.1
Carcassonne,2.4,43.2,81.2,575.3
Tarascon,1.6,42.8,40.9,240.7
Saint_Girons,1.1,42.9,65.6,418.9
Salies,1.0,43.0,78.5,316.9
Campan,0.2,43.0,199.7,596.1
Tarbes,0.1,43.2,157.2,579.3
Lhez,0.2,43.2,151.8,526.4
Lanespede,0.3,43.2,148.2,491.2
Capvern,0.3,43.1,143.5,444.5
Montrejeau,0.6,43.1,132.7,338.4
Saint_Bertrand,0.6,43.0,143.3,342.6
Chaum,0.7,42.9,129.1,346.7
Saint_Beat,0.7,42.9,127.6,349.2
Melles,0.8,42.9,122.4,389.7
Bosost,0.7,42.8,115.5,444.3
Las_Bordas,0.7,42.7,111.7,473.9
Vielha,0.8,42.7,107.0,511.4
Salardu,0.9,42.7,97.5,551.4
Bonaigua,1.0,42.7,87.5,546.1
Esterri,1.1,42.6,73.0,485.1
Llavorsi,1.2,42.5,62.4,401.3
Alins,1.3,42.6,55.1,344.0
Tor,1.4,42.6,48.3,315.5
Port_Cabus,1.4,42.5,43.2,294.2
Rialp,1.1,42.4,67.8,443.7
Ribera_Montardit,1.1,42.4,66.2,468.8
Vic,2.3,41.9,52.0,385.4
Granollers,2.3,41.6,70.7,569.3
Martorell,1.9,41.5,81.2,576.2
PuntMar4,0.9,40.7,124.4,477.5
Valldarques,1.2,42.1,48.0,400.8
Boixols,1.2,42.2,52.0,432.6
Isona,1.0,42.1,60.4,498.6
Sigarra,1.5,41.7,78.9,628.6
Portella_Blanca,1.7,42.5,24.4,136.9
Vall_Llosa,1.7,42.5,25.0,205.3
Vall_Civera,1.7,42.5,29.6,186.0
Hostalnou,2.6,42.2,56.6,430.1
Besalu,2.7,42.2,60.4,467.9
El_Volo,2.8,42.5,54.4,535.5
El_Pertus,2.9,42.5,58.4,574.6
Figueres,3.0,42.3,70.4,545.4
Calafat,0.8,40.9,130.9,638.8
Cambrils,1.1,41.1,119.1,555.6
Empuries,3.1,42.1,74.7,447.4
PuntMar2,3.5,41.9,85.2,451.2
PuntMar5,1.4,41.1,107.0,471.2
PuntMar1,2.2,41.3,87.6,464.3
Girona,2.8,42.0,87.2,592.9
Manresa,1.8,41.7,66.2,504.1
Barcelona,2.2,41.4,84.4,463.1
Tarragona,1.2,41.1,110.6,472.5
Tarrega,1.1,41.6,85.9,654.4
Iesso,1.3,41.8,75.7,553.5
