Node, Long, Lat, Time(hrs), Cost(kg)
Fontrabiouse,2.1,42.6,46.8,300.0
Porteille_Orlu,2.0,42.7,45.2,269.3
Orlu,1.9,42.7,32.4,215.5
Montaillou,1.9,42.8,42.0,290.6
Luzenac,1.8,42.8,33.8,225.9
Roquefeuil,2.0,42.8,40.4,278.5
Auzat,1.5,42.7,34.5,179.0
Toulouse,1.4,43.6,74.3,259.5
Ax,1.8,42.7,28.9,187.4
Montgaillard,1.6,42.9,42.0,232.7
Lavelanet,1.8,42.9,49.6,321.2
Mirepoix,1.9,43.0,60.9,348.2
Fanjeaux,2.0,43.1,72.0,435.3
Pamiers,1.6,43.1,50.1,239.5
Carcassonne,2.4,43.2,88.5,565.7
Tarascon,1.6,42.8,40.0,231.1
Saint_Girons,1.1,42.9,64.7,409.3
Salies,1.0,43.0,77.6,307.4
Campan,0.2,43.0,198.8,586.5
Tarbes,0.1,43.2,156.3,569.7
Lhez,0.2,43.2,150.9,516.8
Lanespede,0.3,43.2,147.3,481.6
Capvern,0.3,43.1,142.6,434.9
Montrejeau,0.6,43.1,131.8,328.8
Saint_Bertrand,0.6,43.0,129.8,333.0
Chaum,0.7,42.9,108.9,337.1
Saint_Beat,0.7,42.9,107.4,339.6
Melles,0.8,42.9,102.3,380.1
Bosost,0.7,42.8,95.4,434.8
Las_Bordas,0.7,42.7,91.6,464.3
Vielha,0.8,42.7,86.8,462.8
Salardu,0.9,42.7,77.3,422.8
Bonaigua,1.0,42.7,67.4,380.9
Esterri,1.1,42.6,52.9,319.8
Llavorsi,1.2,42.5,42.2,236.1
Alins,1.3,42.6,35.0,178.7
Tor,1.4,42.6,28.2,150.2
Port_Cabus,1.4,42.5,23.1,128.9
Rialp,1.1,42.4,47.6,278.5
Ribera_Montardit,1.1,42.4,52.0,313.2
Vic,2.3,41.9,83.8,562.2
Granollers,2.3,41.6,102.5,746.1
Martorell,1.9,41.5,96.2,687.8
PuntMar4,0.9,40.7,138.5,617.9
Valldarques,1.2,42.1,47.8,263.9
Boixols,1.2,42.2,51.9,295.7
Isona,1.0,42.1,60.3,361.8
Sigarra,1.5,41.7,93.8,664.7
Portella_Blanca,1.7,42.5,9.5,39.9
Vall_Llosa,1.7,42.5,6.8,28.4
Vall_Civera,1.7,42.5,2.2,9.2
Hostalnou,2.6,42.2,88.4,607.0
Besalu,2.7,42.2,92.2,644.7
El_Volo,2.8,42.5,86.2,712.3
El_Pertus,2.9,42.5,90.2,751.4
Figueres,3.0,42.3,102.2,722.2
Calafat,0.8,40.9,144.9,773.9
Cambrils,1.1,41.1,133.1,705.9
Empuries,3.1,42.1,106.4,624.2
PuntMar2,3.5,41.9,117.0,628.0
PuntMar5,1.4,41.1,128.2,624.1
PuntMar1,2.2,41.3,110.9,631.1
Girona,2.8,42.0,119.0,769.8
Manresa,1.8,41.7,81.1,540.2
Barcelona,2.2,41.4,107.6,632.2
Tarragona,1.2,41.1,124.6,622.8
Tarrega,1.1,41.6,100.8,690.5
Iesso,1.3,41.8,90.6,589.6
El_Golero,1.5,42.3,34.8,176.0
Espaen,1.3,42.3,33.5,176.1
La_Guardia,1.2,42.3,44.4,221.9
Buseu,1.1,42.3,54.8,265.8
Gerri,1.1,42.3,57.1,291.8
Pobla_Segur,1.0,42.2,64.7,351.7
Tremp,0.9,42.2,69.0,405.7
Berga,1.8,42.1,69.0,426.1
Montmajor,1.7,42.0,67.3,424.6
Sant_Llorenc,1.6,42.1,51.5,246.4
Solsona,1.5,42.0,58.1,333.5
Cardona,1.7,41.9,68.5,415.7
PuntMar3,3.5,42.2,98.3,621.3
Ceret,2.8,42.5,90.1,701.2
Prats_Mollo,2.5,42.4,94.8,593.3
Coll_Ares,2.5,42.4,88.8,567.8
Mollo,2.4,42.3,83.5,545.5
Sant_Pau,2.4,42.3,76.6,490.9
Pobla_Lillet,2.0,42.2,55.7,310.1
Castellar,2.0,42.3,49.0,282.0
La_Molina,2.0,42.3,40.7,246.8
Ripoll,2.2,42.2,68.1,407.9
Campdevanol,2.2,42.2,66.0,391.1
Guardiola,1.9,42.2,59.4,350.7
Sorribes,1.7,42.2,48.1,261.7
Josa,1.6,42.3,43.6,226.0
Tuixent,1.6,42.2,40.1,198.2
Fornols,1.5,42.3,35.1,177.1
Adraen,1.5,42.3,31.9,164.0
Amposta,0.6,40.7,138.3,615.2
Tortosa,0.5,40.8,133.4,611.1
Xerta,0.5,40.9,129.0,607.5
Mora,0.7,41.1,119.0,599.2
Ribaroja,0.5,41.3,110.4,592.1
Mequinensa,0.3,41.4,102.3,585.4
Lleida,0.6,41.6,86.9,572.7
Balaguer,0.8,41.8,77.3,564.7
Cubells,1.0,41.9,69.6,489.0
Artesa,1.0,41.9,65.1,445.2
El_Gos,1.1,41.9,60.9,403.7
Ponts,1.2,41.9,58.4,379.3
Oliana,1.3,42.1,48.3,279.8
Coll_Nargo,1.3,42.2,42.2,219.4
Barceloneta,1.5,42.2,36.6,200.6
Organya,1.3,42.2,39.9,197.0
Obaga_Taus,1.2,42.3,49.1,241.8
Cabo,1.2,42.2,45.0,236.9
Hostalets,1.4,42.3,31.8,163.1
Estagell,2.7,42.8,78.8,596.9
Fenollet,2.5,42.8,70.2,513.1
Atsat,2.2,42.8,55.9,400.0
Campagna,2.1,42.8,47.1,331.1
Matamala,2.1,42.6,44.5,281.9
Porte,1.8,42.5,20.9,87.8
Porta,1.8,42.5,24.5,103.3
Narbona,3.0,43.2,96.4,620.6
PuntMar6,3.2,42.9,87.4,617.4
Ruscino_Port,3.0,42.7,80.0,614.8
Perpinya,2.9,42.7,75.9,611.4
Nefiac,2.7,42.7,66.3,516.7
Prada,2.4,42.6,54.9,404.7
Vilafranca,2.4,42.6,52.0,375.4
Oleta,2.3,42.6,47.2,328.4
Fontpedrosa,2.2,42.5,42.1,278.6
La_Cabanassa,2.1,42.5,38.4,242.2
Sallagosa,2.0,42.5,34.3,201.7
Llivia,2.0,42.5,31.8,176.8
Bolvir,1.9,42.4,27.0,205.9
All,1.8,42.4,24.6,182.2
Baltarga,1.8,42.4,22.7,163.9
Bellver,1.8,42.4,21.2,148.6
Martinet,1.7,42.4,17.7,114.8
Pont_Arseguel,1.6,42.4,22.6,158.5
Torrent_Arenes,1.5,42.4,25.8,127.2
Montmalus,1.7,42.5,5.6,23.8
Coll_Ordino,1.6,42.6,18.1,86.7
Montaup,1.5,42.5,15.8,66.4
Juclar,1.7,42.6,20.3,92.8
Envalira,1.7,42.5,10.9,45.8
Hospitalet,1.8,42.6,18.6,106.9
Soldeu,1.7,42.6,12.4,52.4
Incles,1.7,42.6,14.4,68.2
Canillo,1.6,42.6,14.5,71.7
Cortals,1.6,42.5,6.3,26.7
Encamp,1.6,42.5,11.6,49.0
Collada_Miners,1.6,42.6,23.2,104.8
Serrat,1.5,42.6,21.7,125.1
Ordino,1.5,42.6,16.8,86.5
Coma_Pedrosa,1.4,42.6,27.0,124.6
Seturia,1.4,42.5,21.2,120.7
La_Massana,1.5,42.5,15.6,76.4
Coll_Montaner,1.5,42.5,19.5,82.2
Os_Civis,1.4,42.5,21.0,103.7
Madriu,1.6,42.5,0.0,0.0
Andorra,1.5,42.5,12.6,52.9
Sant_Julia,1.5,42.5,15.9,76.2
Rabassa,1.6,42.4,9.0,38.0
La_Seu,1.5,42.4,24.3,103.9
