Stage,Distance,Time,StageCost,Cost,Alt,Type,Long,Lat
Empuries,0.0,0.0,0.0,0.0,10.0,None,3.108,42.133
Figueres,19.8,10.0,98.0,98.0,10.0,RVia,2.950,42.267
El_Pertus,42.9,22.0,118.6,216.6,39.0,RVia,2.863,42.464
El_Volo,50.1,26.0,39.1,255.6,280.0,RVia,2.830,42.524
Perpinya,70.3,36.2,100.9,356.6,89.0,RVia,2.896,42.699
Nefiac,89.2,45.9,94.6,451.2,8.0,RVia,2.668,42.695
Prada,111.1,57.2,112.0,563.3,104.0,RVia,2.423,42.618
Vilafranca,116.7,60.2,29.3,592.5,300.0,RVia,2.369,42.588
Oleta,125.6,65.0,47.0,639.5,390.0,RVia,2.271,42.556
Fontpedrosa,134.4,70.1,49.8,689.3,563.0,RVia,2.181,42.513
La_Cabanassa,140.0,73.8,36.4,725.7,880.0,RVia,2.116,42.502
Sallagosa,147.7,77.9,40.5,766.2,1350.0,RVia,2.040,42.461
Llivia,152.7,80.4,24.9,791.1,1230.0,RVia,1.981,42.464
