Stage,Distance,Time,StageCost,Cost,Alt,Type,Long,Lat
Narbona,0.0,0.0,0.0,0.0,10.0,None,3.004,43.184
Perpinya,54.7,27.4,269.3,269.3,10.0,RVia,2.896,42.699
Nefiac,73.6,37.0,94.6,364.0,8.0,RVia,2.668,42.695
Prada,95.6,48.4,112.0,476.0,104.0,RVia,2.423,42.618
Vilafranca,101.2,51.3,29.3,505.3,300.0,RVia,2.369,42.588
Oleta,110.0,56.1,47.0,552.2,390.0,RVia,2.271,42.556
Fontpedrosa,118.9,61.2,49.8,602.1,563.0,RVia,2.181,42.513
La_Cabanassa,124.4,64.9,36.4,638.5,880.0,RVia,2.116,42.502
Sallagosa,132.1,69.0,40.5,679.0,1350.0,RVia,2.040,42.461
Llivia,137.1,71.5,24.9,703.9,1230.0,RVia,1.981,42.464
