Stage,Distance,Time,StageCost,Cost,Alt,Type,Long,Lat
Saint_Beat,0.0,0.0,0.0,0.0,500.0,None,0.693,42.914
Melles,7.5,5.1,40.5,40.5,500.0,RCam,0.759,42.868
Bosost,18.0,12.1,54.7,95.1,719.0,RCam,0.694,42.788
Las_Bordas,23.8,15.8,29.6,124.7,924.0,RCam,0.721,42.740
Vielha,31.2,20.6,37.5,162.2,852.0,RCam,0.796,42.702
Salardu,40.0,30.1,40.0,202.2,900.0,RMon,0.901,42.707
Bonaigua,48.3,40.1,41.9,244.1,1268.0,RMon,0.983,42.663
Esterri,60.6,54.6,61.0,305.1,2076.0,RMon,1.124,42.630
Llavorsi,77.1,65.2,83.7,388.9,957.0,RCam,1.211,42.496
Alins,88.0,72.5,57.4,446.2,811.0,RCam,1.320,42.551
Tor,93.6,79.2,28.5,474.7,1048.0,RMon,1.383,42.567
Port_Cabus,97.4,84.3,21.3,496.0,1650.0,RMon,1.420,42.546
Seturia,98.3,86.3,8.2,504.2,2302.0,RMon,1.430,42.550
Os_Civis,102.7,89.6,26.6,530.8,1800.0,RCam,1.439,42.511
Sant_Julia,108.9,94.7,39.7,570.5,1492.8,RCam,1.490,42.470
La_Seu,121.7,103.1,66.2,636.7,908.0,RCam,1.459,42.358
Torrent_Arenes,126.3,105.4,23.2,659.9,691.0,RVia,1.514,42.360
Pont_Arseguel,132.4,108.6,31.3,691.2,715.0,RVia,1.587,42.359
Martinet,141.3,113.5,48.1,739.3,794.0,RVia,1.695,42.358
Bellver,148.1,116.9,33.7,773.0,1003.0,RVia,1.775,42.373
Baltarga,151.1,118.5,15.3,788.3,1015.0,RVia,1.811,42.371
All,154.8,120.4,18.3,806.6,1039.0,RVia,1.846,42.392
Bolvir,159.3,122.8,23.7,830.3,1051.0,RVia,1.887,42.419
Llivia,168.6,127.6,47.2,877.5,1120.0,RVia,1.981,42.464
