Stage,Distance,Time,StageCost,Cost,Alt,Type,Long,Lat
Saint_Bertrand,0.0,0.0,0.0,0.0,518.0,None,0.571,43.028
Montrejeau,6.4,2.5,4.2,4.2,518.0,RRiu,0.569,43.085
Salies,38.9,15.5,21.5,25.7,455.0,RRiu,0.959,43.048
Saint_Girons,59.3,28.4,102.0,127.6,281.0,RCam,1.145,42.928
Tarascon,98.4,53.1,194.0,321.6,387.0,RCam,1.604,42.839
Montgaillard,103.3,55.0,3.2,324.8,463.0,RRiu,1.634,42.877
Lavelanet,121.1,66.3,88.5,413.3,442.0,RCam,1.848,42.877
Roquefeuil,134.7,75.4,71.8,485.1,525.0,RCam,1.998,42.827
Campagna,145.0,82.1,52.6,537.7,834.0,RCam,2.090,42.763
Matamala,164.7,95.8,108.1,645.8,735.0,RCam,2.119,42.588
Sallagosa,180.3,106.0,80.2,726.0,1455.0,RCam,2.040,42.461
Llivia,185.2,108.5,24.9,750.9,1230.0,RVia,1.981,42.464
