Stage,Distance,Time,StageCost,Cost,Alt,Type,Long,Lat
Tarragona,0.0,0.0,0.0,0.0,69.0,None,1.245,41.119
PuntMar5,13.3,3.6,1.3,1.3,69.0,RMar,1.403,41.094
PuntMar1,85.1,23.0,7.0,8.3,1.0,RMar,2.232,41.283
Barcelona,97.0,26.2,1.2,9.4,1.0,RMar,2.177,41.383
Granollers,123.8,39.9,134.5,143.9,9.0,RVia,2.289,41.608
Vic,159.8,58.6,183.9,327.8,145.0,RVia,2.255,41.930
Ripoll,190.4,74.3,154.4,482.1,498.0,RVia,2.190,42.201
Campdevanol,193.6,76.4,16.7,498.9,691.0,RCam,2.169,42.226
Pobla_Lillet,209.8,86.7,81.0,579.9,738.0,RCam,1.976,42.246
Castellar,215.3,93.4,28.1,608.0,843.0,RMon,2.019,42.285
La_Molina,223.7,101.7,35.2,643.2,1395.0,RMon,1.956,42.344
Llivia,237.3,110.6,70.0,713.2,1400.0,RCam,1.981,42.464
