Stage,Distance,Time,StageCost,Cost,Alt,Type,Long,Lat
Tortosa,0.0,0.0,0.0,0.0,12.0,None,0.521,40.812
Amposta,12.4,4.9,8.2,8.2,12.0,RRiu,0.581,40.711
PuntMar4,39.6,12.3,2.6,10.8,8.0,RMar,0.908,40.734
Tarragona,90.7,26.1,5.0,15.8,1.0,RMar,1.245,41.119
PuntMar5,104.0,29.7,1.3,17.1,69.0,RMar,1.403,41.094
PuntMar1,175.7,49.1,7.0,24.0,1.0,RMar,2.232,41.283
Barcelona,187.7,52.3,1.2,25.2,1.0,RMar,2.177,41.383
Granollers,214.5,66.0,134.5,159.7,9.0,RVia,2.289,41.608
Vic,250.5,84.7,183.9,343.5,145.0,RVia,2.255,41.930
Ripoll,281.1,100.4,154.4,497.9,498.0,RVia,2.190,42.201
Campdevanol,284.3,102.5,16.7,514.6,691.0,RCam,2.169,42.226
Pobla_Lillet,300.5,112.8,81.0,595.6,738.0,RCam,1.976,42.246
Castellar,306.0,119.5,28.1,623.8,843.0,RMon,2.019,42.285
La_Molina,314.4,127.8,35.2,659.0,1395.0,RMon,1.956,42.344
Llivia,328.0,136.7,70.0,728.9,1400.0,RCam,1.981,42.464
