"id","from","to","type"
"and01","La_Seu","Os_Civis","RMon"
"and02","La_Seu","Sant_Julia","RCam"
"and03","La_Seu","Rabassa","RMon"
"and04","Os_Civis","Sant_Julia","RCam"
"and05","Sant_Julia","Rabassa","RMon"
"and06","Rabassa","Madriu","RMon"
"and07","Madriu","Andorra","RMon"
"and08","Sant_Julia","Andorra","RCam"
"and09","Andorra","Coll_Montaner","RMon"
"and10","Os_Civis","Coll_Montaner","RMon"
"and11","Os_Civis","Seturia","RCam"
"and12","Seturia","La_Massana","RCam"
"and13","Seturia","Coma_Pedrosa","RMon"
"and14","Coma_Pedrosa","La_Massana","RMon"
"and15","Coma_Pedrosa","Serrat","RMon"
"and16","La_Massana","Ordino","RCam"
"and17a","Ordino","Serrat","RCam"
"and17b","Serrat","Collada_Miners","RMon"
"and18","Andorra","La_Massana","RCam"
"and19","Coll_Montaner","La_Massana","RMon"
"and20","Madriu","Cortals","RMon"
"and21","Andorra","Encamp","RCam"
"and22","Encamp","Cortals","RMon"
"and23","La_Massana","Montaup","RMon"
"and24","Montaup","Encamp","RMon"
"and25","Ordino","Coll_Ordino","RMon"
"and26","Coll_Ordino","Canillo","RMon"
"and27","Collada_Miners","Canillo","RMon"
"and28","Encamp","Canillo","RCam"
"and29","Cortals","Soldeu","RMon"
"and30","Canillo","Soldeu","RCam"
"and31","Collada_Miners","Incles","RMon"
"and32","Soldeu","Incles","RCam"
"and33","Incles","Juclar","RMon"
"and34","Juclar","Hospitalet","RMon"
"and35","Soldeu","Envalira","RCam"
"and36","Envalira","Hospitalet","RCam"
"and37","Cortals","Montmalus","RMon"
"and38","Montmalus","Envalira","RMon"
"and39","Madriu","Montmalus","RMon"
"and40","Madriu","Vall_Civera","RMon"
"and41","Montmalus","Portella_Blanca","RMon"
"and42","Portella_Blanca","Porte","RMon"
"urg01","La_Seu","Torrent_Arenes","RVia"
"urg02","Torrent_Arenes","Pont_Arseguel","RVia"
"urg03","Pont_Arseguel","Martinet","RVia"
"urg04","La_Seu","Hostalets","RCam"
"urg05","Hostalets","Organya","RMon"
"urg06","Organya","Coll_Nargo","RVia"
"urg07","Coll_Nargo","Oliana","RVia"
"urg08","Oliana","Ponts","RVia"
"urg09","Ponts","El_Gos","RVia"
"urg10","El_Gos","Artesa","RVia"
"urg11","Artesa","Cubells","RVia"
"urg12","Cubells","Balaguer","RVia"
"urg13","Balaguer","Lleida","RRiu"
"urg14","Lleida","Mequinensa","RRiu"
"urg15","Mequinensa","Ribaroja","RRiu"
"urg16","Ribaroja","Mora","RRiu"
"urg17","Mora","Xerta","RRiu"
"urg18","Xerta","Tortosa","RRiu"
"urg19","Tortosa","Amposta","RRiu"
"urg20","La_Seu","Adraen","RCam"
"urg21","Adraen","Fornols","RMon"
"urg22","Fornols","Tuixent","RMon"
"urg23","Tuixent","Josa","RCam"
"urg24","Josa","Sorribes","RCam"
"urg25","Sorribes","Guardiola","RCam"
"urg26","Cardona","Solsona","RCam"
"urg27","Solsona","Oliana","RVia"
"urg28","Solsona","Sant_Llorenc","RCam"
"urg29","Sant_Llorenc","Tuixent","RMon"
"urg30","Cardona","Montmajor","RCam"
"urg30a","Solsona","Montmajor","RVia"
"urg31","Montmajor","Berga","RVia"
"urg31a","Berga","Ripoll","RVia"
"urg32","Berga","Guardiola","RCam"
"urg33","Balaguer","Tremp","RCam"
"urg34","Tremp","Pobla_Segur","RCam"
"urg35","Pobla_Segur","Gerri","RCam"
"urg36","Gerri","Buseu","RMon"
"urg37","Buseu","La_Guardia","RMon"
"urg38","La_Guardia","Espaen","RMon"
"urg39","Espaen","Hostalets","RCam"
"urg40","Adraen","El_Golero","RMon"
"urg41","Lleida","Tarrega","RVia"
"urg42","Tarrega","Iesso","RVia"
"urg43","Iesso","Cardona","RCam"
"urg44","Lleida","Tarragona","RVia"
"urg45","Cardona","Manresa","RVia"
"urg46","Manresa","Martorell","RVia"
"urg47","Martorell","Tarragona","RVia"
"urg48a","Barcelona","Martorell","RVia"
"urg48b","Martorell","Granollers","RVia"
"urg48c","Granollers","Girona","RVia"
"urg48d","Barcelona","Granollers","RVia"
"urg49","Tarragona","Cambrils","RVia"
"urg50","Cambrils","Calafat","RVia"
"urg51","Calafat","Amposta","RVia"
"urg52","Girona","Figueres","RVia"
"urg53","Empuries","Figueres","RVia"
"urg53a","Empuries","Girona","RVia"
"urg54","Figueres","El_Pertus","RVia"
"urg55", "Iesso","Sigarra","RVia"
"urg56","Sigarra","Manresa","RVia"
"urg57","Tremp","Isona","RCam"
"urg58","Isona","Boixols","RCam"
"urg59","Boixols","Valldarques","RCam"
"urg60","Valldarques","Coll_Nargo","RCam"
"urg61","Ripoll","Vic","RVia"
"urg62","Vic","Granollers","RVia"
"urg63","La_Guardia","Obaga_Taus","RMon"
"urg64","Obaga_Taus","Cabo","RMon"
"urg65","Cabo","Organya","RCam"
"urg66","Adraen","Barceloneta","RCam"
"urg67","Barceloneta","Organya","RCam"
"cer01","Martinet","Bellver","RVia"
"cer02","Bellver","Baltarga","RVia"
"cer03","Baltarga","All","RVia"
"cer04","All","Bolvir","RVia"
"cer04","Bolvir","Llivia","RVia"
"cer05","Llivia","Sallagosa","RVia"
"cer06","Sallagosa","La_Cabanassa","RVia"
"cer07","La_Cabanassa","Fontpedrosa","RVia"
"cer08","Fontpedrosa","Oleta","RVia"
"cer09","Oleta","Vilafranca","RVia"
"cer10","Vilafranca","Prada","RVia"
"cer11","Prada","Nefiac","RVia"
"cer12","Nefiac","Perpinya","RVia"
"cer13","Perpinya","Narbona","RVia"
"cer14","Sallagosa","Matamala","RCam"
"cer15","Matamala","Campagna","RCam"
"cer16","Campagna","Atsat","RCam"
"cer17","Atsat","Fenollet","RCam"
"cer18","Fenollet","Estagell","RVia"
"cer19","Estagell","Perpinya","RVia"
"cer20","Llivia","La_Molina","RCam"
"cer21","La_Molina","Castellar","RMon"
"cer22","Castellar","Pobla_Lillet","RMon"
"cer23","Guardiola","Pobla_Lillet","RCam"
"cer24","Pobla_Lillet","Campdevanol","RCam"
"cer25","Campdevanol","Ripoll","RCam"
"cer26","Ripoll","Sant_Pau","RVia"
"cer27","Sant_Pau","Mollo","RCam"
"cer28","Mollo","Coll_Ares","RMon"
